Protein Top5 Top1 Set Label n total percentage Difference Reduction
T0864-D1 0 0 All Correct 1 131 0.00763358778625954 -0.00198179682912507 0.206106870229008
T0864-D1 0 0 RFQAmodel Correct 1 104 0.00961538461538462 -0.00198179682912507 0.206106870229008
T0869-D1 0 0 All Correct 3 147 0.0204081632653061 -0.00523286237571952 0.73469387755102
T0869-D1 0 0 RFQAmodel Correct 1 39 0.0256410256410256 -0.00523286237571952 0.73469387755102
T0918-D2 0 0 All Correct 5 121 0.0413223140495868 0 0
T0918-D2 0 0 RFQAmodel Correct 5 121 0.0413223140495868 0 0
T0904-D1 1 0 All Correct 24 143 0.167832167832168 -0.0167832167832168 0.0909090909090909
T0904-D1 1 0 RFQAmodel Correct 24 130 0.184615384615385 -0.0167832167832168 0.0909090909090909
T0918-D1 1 0 RFQAmodel Correct 43 120 0.358333333333333 0 0
T0918-D1 1 0 All Correct 43 120 0.358333333333333 0 0
T0870-D1 1 1 All Correct 69 134 0.514925373134328 -0.0267412935323382 0.104477611940298
T0886-D2 1 1 All Correct 69 129 0.534883720930233 -0.34917425008426 0.465116279069767
T0870-D1 1 1 RFQAmodel Correct 65 120 0.541666666666667 -0.0267412935323382 0.104477611940298
T0886-D2 1 1 RFQAmodel Correct 61 69 0.884057971014493 -0.34917425008426 0.465116279069767
T0866-D1 1 1 All Correct 100 100 1 0 0
T0866-D1 1 1 RFQAmodel Correct 100 100 1 0 0
